timestamp,url,userSessionID,referrer,language,viewportWidth,viewportHeight,userAgent
2020-12-06T09:33:04.805Z,https://adventskalender.puk-bonn.de/#/,942e1720-ca2f-487d-8d23-0c5777813763,,de-DE,375,553,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
2020-12-06T09:33:16.295Z,https://adventskalender.puk-bonn.de/#/,63fd95ee-db28-472e-ab24-6d9f82cefe75,https://www.trinitatiskirche-bonn.de,de-de,1366,889,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"
2020-12-06T09:33:21.081Z,https://adventskalender.puk-bonn.de/#/day/2020-12-02,63fd95ee-db28-472e-ab24-6d9f82cefe75,https://www.trinitatiskirche-bonn.de,de-de,1366,970,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"
2020-12-06T09:33:26.839Z,https://adventskalender.puk-bonn.de/#/day/2020-12-06,942e1720-ca2f-487d-8d23-0c5777813763,,de-DE,375,628,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
2020-12-06T09:33:29.630Z,https://adventskalender.puk-bonn.de/#/,942e1720-ca2f-487d-8d23-0c5777813763,,de-DE,375,553,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
2020-12-06T09:33:34.113Z,https://adventskalender.puk-bonn.de/#/day/2020-11-29,942e1720-ca2f-487d-8d23-0c5777813763,,de-DE,375,628,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
2020-12-06T09:33:40.518Z,https://adventskalender.puk-bonn.de/#/,63fd95ee-db28-472e-ab24-6d9f82cefe75,https://www.trinitatiskirche-bonn.de,de-de,1366,889,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"
2020-12-06T09:33:49.381Z,https://adventskalender.puk-bonn.de/#/day/2020-12-03,63fd95ee-db28-472e-ab24-6d9f82cefe75,https://www.trinitatiskirche-bonn.de,de-de,1366,970,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"
2020-12-06T09:33:59.437Z,https://adventskalender.puk-bonn.de/#/,63fd95ee-db28-472e-ab24-6d9f82cefe75,https://www.trinitatiskirche-bonn.de,de-de,1366,889,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"
2020-12-06T09:34:06.749Z,https://adventskalender.puk-bonn.de/#/day/2020-12-04,63fd95ee-db28-472e-ab24-6d9f82cefe75,https://www.trinitatiskirche-bonn.de,de-de,1366,889,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"
2020-12-06T09:34:40.465Z,https://adventskalender.puk-bonn.de/#/,63fd95ee-db28-472e-ab24-6d9f82cefe75,https://www.trinitatiskirche-bonn.de,de-de,1366,889,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"
2020-12-06T09:35:02.213Z,https://adventskalender.puk-bonn.de/#/day/2020-12-04,63fd95ee-db28-472e-ab24-6d9f82cefe75,https://www.trinitatiskirche-bonn.de,de-de,1366,889,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"
2020-12-06T09:35:03.839Z,https://adventskalender.puk-bonn.de/#/,63fd95ee-db28-472e-ab24-6d9f82cefe75,https://www.trinitatiskirche-bonn.de,de-de,1366,889,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"
2020-12-06T12:52:19.988Z,https://adventskalender.puk-bonn.de/#/,1449ec7b-5c54-4a64-a732-0cfa1c83dea0,,en-GB,1440,826,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:83.0) Gecko/20100101 Firefox/83.0
2020-12-06T12:52:25.328Z,https://adventskalender.puk-bonn.de/#/,1449ec7b-5c54-4a64-a732-0cfa1c83dea0,,en-GB,1440,826,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:83.0) Gecko/20100101 Firefox/83.0
2020-12-06T12:52:23.184Z,https://adventskalender.puk-bonn.de/#/,1449ec7b-5c54-4a64-a732-0cfa1c83dea0,,en-GB,1440,826,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:83.0) Gecko/20100101 Firefox/83.0
2020-12-06T12:52:27.533Z,https://adventskalender.puk-bonn.de/#/,1449ec7b-5c54-4a64-a732-0cfa1c83dea0,,en-GB,1440,826,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:83.0) Gecko/20100101 Firefox/83.0
2020-12-06T12:52:28.270Z,https://adventskalender.puk-bonn.de/#/,1449ec7b-5c54-4a64-a732-0cfa1c83dea0,,en-GB,1440,826,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:83.0) Gecko/20100101 Firefox/83.0
2020-12-06T12:52:28.861Z,https://adventskalender.puk-bonn.de/#/,1449ec7b-5c54-4a64-a732-0cfa1c83dea0,,en-GB,1440,826,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:83.0) Gecko/20100101 Firefox/83.0
